"merc.gpnum","merc.resultid","merc.raceid","merc.points","merc.percpoints","merc.percTOTALpoints","merc.year","merc.round","merc.seasonandround","newpointsys"
249,16561,1085,33,75,32.3529411764706,2022,12,2022.5,TRUE
250,16571,1086,34,77.2727272727273,33.3333333333333,2022,13,2022.54545454545,TRUE
251,16582,1087,12,27.2727272727273,11.7647058823529,2022,14,2022.59090909091,TRUE
252,16591,1088,30,68.1818181818182,29.4117647058824,2022,15,2022.63636363636,TRUE
253,16602,1089,25,56.8181818181818,24.5098039215686,2022,16,2022.68181818182,TRUE
254,16614,1091,2,4.54545454545455,1.96078431372549,2022,17,2022.72727272727,TRUE
255,16623,1092,14,31.8181818181818,13.7254901960784,2022,18,2022.77272727273,TRUE
256,16631,1093,29,65.9090909090909,28.4313725490196,2022,19,2022.81818181818,TRUE
257,16641,1094,31,70.4545454545455,30.3921568627451,2022,20,2022.86363636364,TRUE
258,16650,1095,58,98.3050847457627,42.0289855072464,2022,21,2022.90909090909,TRUE
259,16662,1096,10,22.7272727272727,9.80392156862745,2022,22,2022.95454545455,TRUE
